1	40	28	97	25	15	27	19	61	96	55	39	96	25	33	31	8	45	43	30	53	58	29	69	35	13	97	41	66	45	83	91	60	6	21	83	43	60	46	64	3	32	40	89	64	9	65	50	13	18	31	39	31	63	58	59	2	73	40	27	47	97	66	55	59	47	42	71	82	30	71	32	71	27	74	49	99	78	2	37	61	90	55	65	18	53	52	2	90	44	98	34	66	86	48	25	71	37	1	31
78	93	4	45	21	24	73	64	35	9	77	70	89	31	41	22	79	78	44	13	73	83	25	15	2	65	2	2	9	2	96	41	41	90	99	99	56	43	29	25	11	47	88	92	24	81	54	64	18	23	58	66	75	84	99	77	93	99	5	81	13	21	18	62	90	67	70	64	24	94	24	26	46	4	88	5	25	81	39	95	68	49	90	5	44	68	60	9	70	5	71	45	18	21	58	93	39	8	63	51
5	61	44	65	7	5	48	95	68	76	94	46	59	35	27	30	4	94	52	81	11	14	93	66	47	90	50	21	87	34	11	32	93	68	60	91	22	13	9	20	45	29	1	56	88	64	95	98	41	91	39	9	64	30	52	94	68	48	61	96	98	39	17	91	95	84	60	82	89	61	33	69	30	11	29	90	40	77	56	74	21	45	5	6	11	6	35	73	22	45	77	75	68	89	35	53	13	19	5	23
73	51	51	42	10	90	34	80	98	24	42	28	36	92	79	20	29	8	7	76	6	84	59	93	70	6	50	90	63	71	91	37	72	98	27	87	96	21	85	29	64	74	10	90	21	58	39	96	2	14	27	20	71	27	69	86	26	40	76	69	35	56	69	48	68	96	5	33	41	7	91	84	3	1	46	95	85	96	33	32	1	32	68	83	63	22	25	28	90	44	24	39	6	36	81	42	22	28	50	84
32	39	93	45	65	79	92	26	87	75	34	8	69	15	9	85	4	73	95	15	67	12	20	68	95	41	66	2	91	37	1	6	83	30	9	20	36	30	62	11	30	88	56	43	33	74	74	77	22	59	87	55	27	91	99	17	39	78	88	25	11	29	18	92	92	39	11	15	37	8	14	67	77	88	51	23	75	8	75	73	62	30	91	62	2	59	17	68	40	48	24	24	2	78	53	99	21	14	71	49
74	73	98	45	56	61	30	94	81	77	39	85	54	55	9	84	86	66	79	2	65	66	74	92	49	22	54	15	19	58	91	19	29	34	4	21	69	32	36	64	84	21	44	40	93	81	21	86	16	47	26	55	68	74	61	7	95	14	43	92	63	5	59	9	74	58	35	80	7	54	15	76	67	41	16	4	85	55	99	23	46	41	73	40	70	63	33	60	12	95	67	58	55	61	3	72	42	1	94	98
76	32	97	61	86	51	34	41	66	54	84	83	10	12	20	48	68	38	29	20	95	17	2	4	50	93	13	59	15	8	82	85	7	4	67	67	98	60	73	9	5	15	67	9	65	45	14	89	50	98	79	75	77	31	96	11	10	30	30	41	83	99	10	12	22	53	38	31	19	24	66	65	95	24	62	84	26	17	98	52	90	3	64	59	54	91	29	28	74	15	60	81	99	96	42	19	96	41	26	88
73	38	40	57	38	83	53	33	54	98	91	89	2	23	55	76	64	83	22	73	86	90	35	82	10	12	2	53	7	67	61	53	87	80	68	30	5	59	52	56	15	61	67	6	96	44	72	14	32	34	40	42	89	91	93	36	46	89	30	36	75	9	79	20	2	56	50	48	71	73	98	63	12	36	20	46	19	99	75	61	63	18	74	93	77	75	69	64	42	5	21	20	86	63	97	32	31	3	70	23
66	96	43	80	46	61	7	47	68	33	16	94	35	24	50	37	8	49	71	59	17	43	81	65	22	25	76	5	90	96	21	34	49	10	66	19	45	73	58	83	23	51	63	3	88	68	64	31	75	30	59	79	99	31	72	3	13	21	77	77	5	26	72	96	46	57	50	39	43	2	7	5	15	23	52	73	65	1	41	89	92	21	78	42	8	96	86	91	93	72	28	91	58	41	69	48	87	98	44	42
13	55	11	64	6	81	36	44	40	20	36	20	54	98	5	33	15	36	99	21	57	13	90	3	7	71	59	56	42	88	98	63	34	88	22	9	84	95	53	79	61	49	87	66	28	82	77	5	91	15	63	28	59	69	15	88	26	56	22	16	4	24	48	69	14	16	98	70	41	96	29	92	40	42	39	6	18	64	95	44	25	39	36	90	36	3	84	83	96	90	44	45	30	53	88	98	74	79	21	57
44	62	32	28	93	96	4	25	12	15	94	9	98	78	83	45	72	19	81	60	18	99	37	69	95	78	34	38	44	44	79	68	91	17	57	61	69	15	17	65	45	88	71	9	91	33	17	84	80	88	39	72	89	95	69	86	67	69	29	72	88	32	6	68	51	1	66	46	32	95	2	83	67	48	85	89	39	48	7	45	51	28	24	69	11	92	99	19	40	22	11	63	12	56	96	88	19	89	85	24
28	75	56	63	51	33	83	50	47	43	31	81	47	33	29	18	13	98	55	69	33	99	61	36	43	53	95	38	75	73	5	61	51	10	69	3	55	46	99	74	9	85	35	63	79	61	96	51	23	92	27	7	71	20	84	14	57	24	19	20	71	96	15	5	79	59	12	47	7	1	59	47	10	11	47	16	62	82	63	50	1	26	91	22	79	24	7	99	50	51	22	52	7	3	43	6	69	34	1	67
